s,t,a,t,u,s
House -- Notification that HB1085 is now Act 1,,,,,
House -- Notification that HB1001 is now Act 2,,,,,
Senate -- Notification that SB1 is now Act 3,,,,,
Senate -- DELIVERED TO GOVERNOR.,,,,,
Senate -- DELIVERED TO GOVERNOR.,,,,,
Senate -- DELIVERED TO GOVERNOR.,,,,,
Senate -- DELIVERED TO GOVERNOR.,,,,,
Senate -- DELIVERED TO GOVERNOR.,,,,,
Senate -- DELIVERED TO GOVERNOR.,,,,,
House -- Notification that HB1070 is now Act 10,,,,,
House -- Notification that HB1073 is now Act 11,,,,,
House -- Notification that HB1074 is now Act 12,,,,,
House -- Notification that HB1075 is now Act 13,,,,,
House -- Notification that HB1079 is now Act 14,,,,,
House -- Notification that HB1095 is now Act 15,,,,,
House -- Notification that HB1126 is now Act 16,,,,,
House -- Notification that HB1133 is now Act 17,,,,,
Senate -- Notification that SB116 is now Act 18,,,,,
Senate -- Notification that SB115 is now Act 19,,,,,
Senate -- Notification that SB162 is now Act 20,,,,,
