s,t,a,t,u,s
Senate -- Notification that SB130 is now Act 81,,,,,
Senate -- Notification that SB131 is now Act 82,,,,,
Senate -- Notification that SB154 is now Act 168,,,,,
House -- Notification that HB1003 is now Act 84,,,,,
House -- Notification that HB1104 is now Act 85,,,,,
House -- Notification that HB1109 is now Act 86,,,,,
House -- Notification that HB1119 is now Act 87,,,,,
House -- Notification that HB1121 is now Act 88,,,,,
House -- Notification that HB1151 is now Act 89,,,,,
House -- Notification that HB1195 is now Act 90,,,,,
House -- Notification that HB1227 is now Act 91,,,,,
House -- Notification that HB1230 is now Act 92,,,,,
House -- Notification that HB1262 is now Act 93,,,,,
House -- Notification that HB1211 is now Act 94,,,,,
Senate -- Notification that SB83 is now Act 95,,,,,
Senate -- Notification that SB71 is now Act 96,,,,,
Senate -- Notification that SB99 is now Act 97,,,,,
Senate -- Notification that SB42 is now Act 98,,,,,
Senate -- Notification that SB43 is now Act 99,,,,,
Senate -- Notification that SB109 is now Act 100,,,,,
