s,t,a,t,u,s
House -- Notification that HB1296 is now Act 121,,,,,
House -- Notification that HB1297 is now Act 122,,,,,
House -- Notification that HB1309 is now Act 123,,,,,
House -- Notification that HB1311 is now Act 124,,,,,
House -- Notification that HB1026 is now Act 125,,,,,
House -- Notification that HB1103 is now Act 126,,,,,
House -- Notification that HB1153 is now Act 127,,,,,
House -- Notification that HB1202 is now Act 128,,,,,
House -- Notification that HB1222 is now Act 129,,,,,
House -- Notification that HB1099 is now Act 130,,,,,
House -- Notification that HB1142 is now Act 131,,,,,
House -- Notification that HB1322 is now Act 132,,,,,
Senate -- Notification that SB66 is now Act 133,,,,,
Senate -- Notification that SB77 is now Act 134,,,,,
Senate -- Notification that SB78 is now Act 135,,,,,
Senate -- Notification that SB87 is now Act 136,,,,,
Senate -- Notification that SB102 is now Act 137,,,,,
Senate -- Notification that SB103 is now Act 138,,,,,
Senate -- Notification that SB105 is now Act 139,,,,,
Senate -- Notification that SB173 is now Act 140,,,,,
