s,t,a,t,u,s
House -- Notification that HB1150 is now Act 41,,,,,
House -- Notification that HB1149 is now Act 42,,,,,
House -- Notification that HB1147 is now Act 43,,,,,
House -- Notification that HB1145 is now Act 44,,,,,
House -- Notification that HB1143 is now Act 45,,,,,
House -- Notification that HB1132 is now Act 46,,,,,
House -- Notification that HB1130 is now Act 47,,,,,
House -- Notification that HB1129 is now Act 48,,,,,
House -- Notification that HB1128 is now Act 49,,,,,
House -- Notification that HB1096 is now Act 50,,,,,
House -- Notification that HB1094 is now Act 51,,,,,
House -- Notification that HB1093 is now Act 52,,,,,
House -- Notification that HB1092 is now Act 53,,,,,
House -- Notification that HB1082 is now Act 54,,,,,
House -- Notification that HB1185 is now Act 55,,,,,
House -- Notification that HB1056 is now Act 56,,,,,
House -- Notification that HB1057 is now Act 57,,,,,
House -- Notification that HB1059 is now Act 58,,,,,
House -- Notification that HB1013 is now Act 59,,,,,
House -- Notification that HB1025 is now Act 60,,,,,
