s,t,a,t,u,s
Senate -- Reported correctly enrolled and ordered delivered to the Governor.,,,,,
Senate -- Notification that SB144 is now Act 22,,,,,
Senate -- Notification that SB135 is now Act 23,,,,,
Senate -- Notification that SB133 is now Act 24,,,,,
Senate -- Notification that SB98 is now Act 25,,,,,
Senate -- Notification that SB96 is now Act 26,,,,,
Senate -- Notification that SB93 is now Act 27,,,,,
Senate -- Notification that SB92 is now Act 28,,,,,
Senate -- Notification that SB91 is now Act 29,,,,,
Senate -- Notification that SB79 is now Act 30,,,,,
Senate -- Notification that SB53 is now Act 31,,,,,
Senate -- Notification that SB52 is now Act 32,,,,,
Senate -- Notification that SB48 is now Act 33,,,,,
Senate -- Notification that SB47 is now Act 34,,,,,
Senate -- Notification that SB46 is now Act 35,,,,,
Senate -- Notification that SB44 is now Act 36,,,,,
Senate -- Notification that SB36 is now Act 37,,,,,
Senate -- Notification that SB90 is now Act 38,,,,,
House -- Notification that HB1178 is now Act 39,,,,,
House -- Notification that HB1166 is now Act 40,,,,,
